Language,Original,English,French,Spanish,Italian,German,Russian,Polish,Czech,Hungarian,Japanese
STR_XBOX_CONTROLER_RS_UD_AIM,<img image='\xmisc\ctrl_move.paa'/> Up/Down,<img image='\xmisc\ctrl_move.paa'/> Up/Down,<img image='\xmisc\ctrl_move.paa'/> Haut/bas,<img image='\xmisc\ctrl_move.paa'/>Arriba/Abajo,<img image='\xmisc\ctrl_move.paa'/> Su/gi,<img image='\xmisc\ctrl_move.paa'/> Hoch/Runter,<img image='\xmisc\ctrl_move.paa'/> Вверх/Вниз,<img image='\xmisc\ctrl_move.paa'/> Up/Down,<img image='\xmisc\ctrl_move.paa'/> Nahoru/Dolů,<img image='\xmisc\ctrl_move.paa'/> Fel/Le,<img image='\xmisc\ctrl_move.paa'/>上/下
STR_XBOX_CONTROLER_RS_LR_AIM,<img image='\xmisc\ctrl_strafe.paa'/> Left/Right,<img image='\xmisc\ctrl_strafe.paa'/> Left/Right,<img image='\xmisc\ctrl_strafe.paa'/> Gauche/droite,<img image='\xmisc\ctrl_strafe.paa'/>Izquierda/Derecha,<img image='\xmisc\ctrl_strafe.paa'/> Sinistra/destra,<img image='\xmisc\ctrl_strafe.paa'/> Links/Rechts,<img image='\xmisc\ctrl_strafe.paa'/> Влево/Вправо,<img image='\xmisc\ctrl_strafe.paa'/> Left/Right,<img image='\xmisc\ctrl_strafe.paa'/> Vlevo/Vpravo,<img image='\xmisc\ctrl_strafe.paa'/> Balra / Jobbra,<img image='\xmisc\ctrl_strafe.paa'/>左/右
STR_XBOX_CONTROLER_LS_UP,Kneel <img image='\xmisc\ctrl_nextarget.paa'/>,Kneel <img image='\xmisc\ctrl_nextarget.paa'/>,S'agenouiller <img image='\xmisc\ctrl_nextarget.paa'/>,Arrodillarse <img image='\xmisc\ctrl_nextarget.paa'/>,In ginocchio <img image='\xmisc\ctrl_nextarget.paa'/>,Hinknien <img image='\xmisc\ctrl_nextarget.paa'/>,На колено <img image='\xmisc\ctrl_nextarget.paa'/>,Kneel <img image='\xmisc\ctrl_nextarget.paa'/>,Kleknout <img image='\xmisc\ctrl_nextarget.paa'/>,Letérdel <img image='\xmisc\ctrl_nextarget.paa'/>,ひざまずく<img image='\xmisc\ctrl_nextarget.paa'/>
STR_XBOX_CONTROLER_AIM,AIM,AIM,VISER,APUNTAR,MIRA,ZIELEN,ПРИЦЕЛ,AIM,AIM,CÉLZÁS,AIMミサイル
STR_XBOX_CONTROLER_LS_MOVE,Move <img image='\xmisc\ctrl_move.paa'/>,Move <img image='\xmisc\ctrl_move.paa'/>,Dplacement <img image='\xmisc\ctrl_move.paa'/>,Moverse <img image='\xmisc\ctrl_move.paa'/>,Muove <img image='\xmisc\ctrl_move.paa'/>,Bewegen <img image='\xmisc\ctrl_move.paa'/>,Движение <img image='\xmisc\ctrl_move.paa'/>,Move <img image='\xmisc\ctrl_move.paa'/>,Pohyb <img image='\xmisc\ctrl_move.paa'/>,Mozgás <img image='\xmisc\ctrl_move.paa'/>,移動<img image='\xmisc\ctrl_move.paa'/>
STR_XBOX_CONTROLER_LS_STRAFE,Strafe <img image='\xmisc\ctrl_strafe.paa'/>,Strafe <img image='\xmisc\ctrl_strafe.paa'/>,Dplac. latral <img image='\xmisc\ctrl_strafe.paa'/>,Bombardear <img image='\xmisc\ctrl_strafe.paa'/>,Mov. laterale <img image='\xmisc\ctrl_strafe.paa'/>,Seitwärts laufen <img image='\xmisc\ctrl_strafe.paa'/>,Шаг вбок <img image='\xmisc\ctrl_strafe.paa'/>,Strafe <img image='\xmisc\ctrl_strafe.paa'/>,Úkrok <img image='\xmisc\ctrl_strafe.paa'/>,Oldalaz <img image='\xmisc\ctrl_strafe.paa'/>,機銃掃射<img image='\xmisc\ctrl_strafe.paa'/>
STR_XBOX_CONTROLER_LS_RUDDER,Rudder <img image='\xmisc\ctrl_strafe.paa'/>,Rudder <img image='\xmisc\ctrl_strafe.paa'/>,Gouvernail <img image='\xmisc\ctrl_strafe.paa'/>,Palanca de mando <img image='\xmisc\ctrl_strafe.paa'/>,Timone <img image='\xmisc\ctrl_strafe.paa'/>,Steuerruder <img image='\xmisc\ctrl_strafe.paa'/>,Руль <img image='\xmisc\ctrl_strafe.paa'/>,Rudder <img image='\xmisc\ctrl_strafe.paa'/>,Kormidlo <img image='\xmisc\ctrl_strafe.paa'/>,Kormány <img image='\xmisc\ctrl_strafe.paa'/>,ラダー<img image='\xmisc\ctrl_strafe.paa'/>
STR_XBOX_CONTROLER_LS_LOCK,Lock Target <img image='\xmisc\ctrl_nextarget.paa'/>,Lock Target <img image='\xmisc\ctrl_nextarget.paa'/>,Verrouiller cible <img image='\xmisc\ctrl_nextarget.paa'/>,Fijar blanco <img image='\xmisc\ctrl_nextarget.paa'/>,Fissa bersaglio <img image='\xmisc\ctrl_nextarget.paa'/>,Ziel erfassen <img image='\xmisc\ctrl_nextarget.paa'/>,Фикс. цель <img image='\xmisc\ctrl_nextarget.paa'/>,Lock Target <img image='\xmisc\ctrl_nextarget.paa'/>,Zamknout cíl <img image='\xmisc\ctrl_nextarget.paa'/>,Célpontot rözgít <img image='\xmisc\ctrl_nextarget.paa'/>,ロック・ターゲット<img image='\xmisc\ctrl_nextarget.paa'/>
STR_XBOX_CONTROLER_AIR,Aircraft,Aircraft,Avion,Avin,Velivolo,Luftfahrzeug,Самолет,Aircraft,Ledala,Légi egység,航空機
STR_XBOX_CONTROLER_LS_FLY,Fly <img image='\xmisc\ctrl_move.paa'/>,Fly <img image='\xmisc\ctrl_move.paa'/>,Voler <img image='\xmisc\ctrl_move.paa'/>,Despegar <img image='\xmisc\ctrl_move.paa'/>,Vola <img image='\xmisc\ctrl_move.paa'/>,Fliegen <img image='\xmisc\ctrl_move.paa'/>,Полет <img image='\xmisc\ctrl_move.paa'/>,Fly <img image='\xmisc\ctrl_move.paa'/>,Leťet <img image='\xmisc\ctrl_move.paa'/>,Repül <img image='\xmisc\ctrl_move.paa'/>,飛行<img image='\xmisc\ctrl_move.paa'/>
STR_XBOX_CONTROLER_VEHICLE_GROUND,Ground vehicles,Ground vehicles,Vhicules terrestres,Vehculos terrestres,Veicoli di terra,Landfahrzeuge,Наземный транспорт,Ground vehicles,Pozemní vozidla,Földi járművek,地上車両
STR_XBOX_CONTROLER_RS_TURN,<img image='\xmisc\ctrl_strafe.paa'/> Turn,<img image='\xmisc\ctrl_strafe.paa'/> Turn,<img image='\xmisc\ctrl_strafe.paa'/> Tourner,<img image='\xmisc\ctrl_strafe.paa'/>Girar,<img image='\xmisc\ctrl_strafe.paa'/> Gira,<img image='\xmisc\ctrl_strafe.paa'/> Drehen,<img image='\xmisc\ctrl_strafe.paa'/> Поворот,<img image='\xmisc\ctrl_strafe.paa'/> Turn,<img image='\xmisc\ctrl_strafe.paa'/> Otočit se,<img image='\xmisc\ctrl_strafe.paa'/> Fordulás,<img image='\xmisc\ctrl_strafe.paa'/>ターン
STR_XBOX_CONTROLER_RS_KNEEL,<img image='\xmisc\ctrl_nextarget.paa'/> Kneel,<img image='\xmisc\ctrl_nextarget.paa'/> Kneel,<img image='\xmisc\ctrl_nextarget.paa'/> S'agenouiller,<img image='\xmisc\ctrl_nextarget.paa'/>Arrodillarse,<img image='\xmisc\ctrl_nextarget.paa'/> In ginocchio,<img image='\xmisc\ctrl_nextarget.paa'/> Hinknien,<img image='\xmisc\ctrl_nextarget.paa'/> На колено,<img image='\xmisc\ctrl_nextarget.paa'/> Kneel,<img image='\xmisc\ctrl_nextarget.paa'/> Kleknout,<img image='\xmisc\ctrl_nextarget.paa'/> Letérdel,<img image='\xmisc\ctrl_nextarget.paa'/>ひざまずく
STR_XBOX_CONTROLER_LS_ZOOM,<img image='\xmisc\ctrl_nextarget.paa'/> Zoom,<img image='\xmisc\ctrl_nextarget.paa'/> Zoom,<img image='\xmisc\ctrl_nextarget.paa'/> Zoom,<img image='\xmisc\ctrl_nextarget.paa'/>Acercar/Alejar,<img image='\xmisc\ctrl_nextarget.paa'/> Zoom,<img image='\xmisc\ctrl_nextarget.paa'/> Vergrößern,<img image='\xmisc\ctrl_nextarget.paa'/> Масштаб,<img image='\xmisc\ctrl_nextarget.paa'/> Zoom,<img image='\xmisc\ctrl_nextarget.paa'/> Zoom,<img image='\xmisc\ctrl_nextarget.paa'/> Közelítés / Távolítás,<img image='\xmisc\ctrl_nextarget.paa'/>ズーム
STR_XBOX_CONTROLER_RS_UP,<img image='\xmisc\ctrl_nextarget.paa'/> Kneel,<img image='\xmisc\ctrl_nextarget.paa'/> Kneel,<img image='\xmisc\ctrl_nextarget.paa'/> S'agenouiller,<img image='\xmisc\ctrl_nextarget.paa'/>Arrodillarse,<img image='\xmisc\ctrl_nextarget.paa'/> In ginocchio,<img image='\xmisc\ctrl_nextarget.paa'/> Hinknien,<img image='\xmisc\ctrl_nextarget.paa'/> На колено,<img image='\xmisc\ctrl_nextarget.paa'/> Kneel,<img image='\xmisc\ctrl_nextarget.paa'/> Kleknout,<img image='\xmisc\ctrl_nextarget.paa'/> Letérdel,<img image='\xmisc\ctrl_nextarget.paa'/>ひざまずく
STR_XBOX_CONTROLER_RS_MOVE,<img image='\xmisc\ctrl_move.paa'/> Move,<img image='\xmisc\ctrl_move.paa'/> Move,<img image='\xmisc\ctrl_move.paa'/> Dplacement,<img image='\xmisc\ctrl_move.paa'/>Trasladarse,<img image='\xmisc\ctrl_move.paa'/> Movimento,<img image='\xmisc\ctrl_move.paa'/> Bewegen,<img image='\xmisc\ctrl_move.paa'/> Движение,<img image='\xmisc\ctrl_move.paa'/> Move,<img image='\xmisc\ctrl_move.paa'/> Pohyb,<img image='\xmisc\ctrl_move.paa'/> Mozgás,<img image='\xmisc\ctrl_move.paa'/>移動
STR_XBOX_CONTROLER_LS_OPTICS,Optics <img image='\xmisc\ctrl_nextarget.paa'/>,Optics <img image='\xmisc\ctrl_nextarget.paa'/>,Lunette de vise <img image='\xmisc\ctrl_nextarget.paa'/>,Punto de vista <img image='\xmisc\ctrl_nextarget.paa'/>,Ottica <img image='\xmisc\ctrl_nextarget.paa'/>,Visier <img image='\xmisc\ctrl_nextarget.paa'/>,Оптика <img image='\xmisc\ctrl_nextarget.paa'/>,Optics <img image='\xmisc\ctrl_nextarget.paa'/>,Optika <img image='\xmisc\ctrl_nextarget.paa'/>,Távcső <img image='\xmisc\ctrl_nextarget.paa'/>,光学<img image='\xmisc\ctrl_nextarget.paa'/>
STR_XBOX_CONTROLER_LS_UD_AIM,Up/Down <img image='\xmisc\ctrl_move.paa'/>,Up/Down <img image='\xmisc\ctrl_move.paa'/>,Haut/bas <img image='\xmisc\ctrl_move.paa'/>,Arriba/Abajo <img image='\xmisc\ctrl_move.paa'/>,Su/gi <img image='\xmisc\ctrl_move.paa'/>,Hoch/Runter <img image='\xmisc\ctrl_move.paa'/>,Вверх/Вниз <img image='\xmisc\ctrl_move.paa'/>,Up/Down <img image='\xmisc\ctrl_move.paa'/>,Nahoru/Dolů <img image='\xmisc\ctrl_move.paa'/>,Fel / Le <img image='\xmisc\ctrl_move.paa'/>,上/下<img image='\xmisc\ctrl_move.paa'/>
STR_XBOX_CONTROLER_LS_LR_AIM,Left/Right <img image='\xmisc\ctrl_strafe.paa'/>,Left/Right <img image='\xmisc\ctrl_strafe.paa'/>,Gauche/droite <img image='\xmisc\ctrl_strafe.paa'/>,Izquierda/Derecha <img image='\xmisc\ctrl_strafe.paa'/>,Destra/sinistra <img image='\xmisc\ctrl_strafe.paa'/>,Links/Rechts <img image='\xmisc\ctrl_strafe.paa'/>,Влево/Вправо <img image='\xmisc\ctrl_strafe.paa'/>,Left/Right <img image='\xmisc\ctrl_strafe.paa'/>,Vlevo/Vpravo <img image='\xmisc\ctrl_strafe.paa'/>,Balra / Jobbra <img image='\xmisc\ctrl_strafe.paa'/>,左/右<img image='\xmisc\ctrl_strafe.paa'/>
STR_XBOX_CONTROLER_LS_TURN,Turn <img image='\xmisc\ctrl_strafe.paa'/>,Turn <img image='\xmisc\ctrl_strafe.paa'/>,Tourner <img image='\xmisc\ctrl_strafe.paa'/>,Girar <img image='\xmisc\ctrl_strafe.paa'/>,Gira <img image='\xmisc\ctrl_strafe.paa'/>,Drehen <img image='\xmisc\ctrl_strafe.paa'/>,Поворот <img image='\xmisc\ctrl_strafe.paa'/>,Turn <img image='\xmisc\ctrl_strafe.paa'/>,Otočit se <img image='\xmisc\ctrl_strafe.paa'/>,Fordul <img image='\xmisc\ctrl_strafe.paa'/>,ターン<img image='\xmisc\ctrl_strafe.paa'/>
STR_XBOX_CONTROLER_RS_TILT,<img image='\xmisc\ctrl_strafe.paa'/> Tilt,<img image='\xmisc\ctrl_strafe.paa'/> Tilt,<img image='\xmisc\ctrl_strafe.paa'/> Se pencher,<img image='\xmisc\ctrl_strafe.paa'/>Inclinar,<img image='\xmisc\ctrl_strafe.paa'/> Inclina,<img image='\xmisc\ctrl_strafe.paa'/> Neigen,<img image='\xmisc\ctrl_strafe.paa'/> Наклон,<img image='\xmisc\ctrl_strafe.paa'/> Tilt,<img image='\xmisc\ctrl_strafe.paa'/> Vyklonit,<img image='\xmisc\ctrl_strafe.paa'/> Lehajol,<img image='\xmisc\ctrl_strafe.paa'/>チルト
STR_XBOX_CONTROLER_RS_TILT_MOVE,<img image='\xmisc\ctrl_move.paa'/> Tilt,<img image='\xmisc\ctrl_move.paa'/> Tilt,<img image='\xmisc\ctrl_move.paa'/> Se pencher,<img image='\xmisc\ctrl_move.paa'/>Inclinar,<img image='\xmisc\ctrl_move.paa'/> Inclina,<img image='\xmisc\ctrl_move.paa'/> Neigen,<img image='\xmisc\ctrl_move.paa'/> Наклон,<img image='\xmisc\ctrl_move.paa'/> Tilt,<img image='\xmisc\ctrl_move.paa'/> Vyklonit,<img image='\xmisc\ctrl_move.paa'/> Lehajol,<img image='\xmisc\ctrl_move.paa'/>チルト
STR_CFG_FIREFLYBASE,BASE FIREFLY,BASE FIREFLY,BASE FIREFLY,BASE LUCIÉRNAGA,BASE FIREFLY,STÜTZPUNKT FIREFLY,База 'Светлячок',BAZA FIREFLY,ZÁKLADNA FIREFLY,FIREFLY BÁZIS,ファイアフライ基地
STR_CFG_PAPABEAR,CROSSROAD,CROSSROAD,CROSSROAD,CROSSROAD,PAPA BEAR,CROSSROAD,ПЕРЕКРЕСТОК,SKRZYŻOWANIE,CROSSROAD,PAPABEAR,十字路
STR_CFG_ENVSOUNDS_DEFAULT,Default,Default,Par défaut,Predet.,Predefinito,Voreinst.,По умолчанию,Domyślne,Výchozí,Alapértelmezett,デフォルト
STR_XBOX_CONTROLER_RS_LOCK,<img image='\xmisc\ctrl_nextarget.paa'/> Lock Target,<img image='\xmisc\ctrl_nextarget.paa'/> Lock Target,<img image='\xmisc\ctrl_nextarget.paa'/> Verrouiller cible,<img image='\xmisc\ctrl_nextarget.paa'/>Fijar blanco,<img image='\xmisc\ctrl_nextarget.paa'/> Fissa bersaglio,<img image='\xmisc\ctrl_nextarget.paa'/> Ziel erfassen,<img image='\xmisc\ctrl_nextarget.paa'/> Фикс. цель,<img image='\xmisc\ctrl_nextarget.paa'/> Lock Target,<img image='\xmisc\ctrl_nextarget.paa'/> Zamknout cíl,<img image='\xmisc\ctrl_nextarget.paa'/> Célpontot rögzít,<img image='\xmisc\ctrl_nextarget.paa'/>ロック・ターゲット
STR_XBOX_CONTROLER_RS_RUDDER,<img image='\xmisc\ctrl_strafe.paa'/> Rudder,<img image='\xmisc\ctrl_strafe.paa'/> Rudder,<img image='\xmisc\ctrl_strafe.paa'/> Gouvernail,<img image='\xmisc\ctrl_strafe.paa'/>Palanca de mando,<img image='\xmisc\ctrl_strafe.paa'/> Timone,<img image='\xmisc\ctrl_strafe.paa'/> Ruder,<img image='\xmisc\ctrl_strafe.paa'/> Руль,<img image='\xmisc\ctrl_strafe.paa'/> Rudder,<img image='\xmisc\ctrl_strafe.paa'/> Kormidlo,<img image='\xmisc\ctrl_strafe.paa'/> Kormány,<img image='\xmisc\ctrl_strafe.paa'/>ラダー
STR_XBOX_CONTROLER_RS_FLY,<img image='\xmisc\ctrl_move.paa'/> Fly,<img image='\xmisc\ctrl_move.paa'/> Fly,<img image='\xmisc\ctrl_move.paa'/> Voler,<img image='\xmisc\ctrl_move.paa'/>Despegar,<img image='\xmisc\ctrl_move.paa'/> Vola,<img image='\xmisc\ctrl_move.paa'/> Fliegen,<img image='\xmisc\ctrl_move.paa'/> Полет,<img image='\xmisc\ctrl_move.paa'/> Fly,<img image='\xmisc\ctrl_move.paa'/> Letět,<img image='\xmisc\ctrl_move.paa'/> Repül,<img image='\xmisc\ctrl_move.paa'/>飛行
STR_XBOX_CONTROLER_LS_TILT_MOVE,Tilt <img image='\xmisc\ctrl_move.paa'/>,Tilt <img image='\xmisc\ctrl_move.paa'/>,Se pencher <img image='\xmisc\ctrl_move.paa'/>,Inclinar <img image='\xmisc\ctrl_move.paa'/>,Inclina <img image='\xmisc\ctrl_move.paa'/>,Neigen  <img image='\xmisc\ctrl_move.paa'/>,Наклон <img image='\xmisc\ctrl_move.paa'/>,Tilt <img image='\xmisc\ctrl_move.paa'/>,Vyklonit <img image='\xmisc\ctrl_move.paa'/>,Lehajol <img image='\xmisc\ctrl_move.paa'/>,チルト<img image='\xmisc\ctrl_move.paa'/>
STR_XBOX_CONTROLER_LS_TILT,Tilt <img image='\xmisc\ctrl_strafe.paa'/>,Tilt <img image='\xmisc\ctrl_strafe.paa'/>,Se pencher <img image='\xmisc\ctrl_strafe.paa'/>,Inclinar <img image='\xmisc\ctrl_strafe.paa'/>,Inclina <img image='\xmisc\ctrl_strafe.paa'/>,Neigen <img image='\xmisc\ctrl_strafe.paa'/>,Наклон <img image='\xmisc\ctrl_strafe.paa'/>,Tilt <img image='\xmisc\ctrl_strafe.paa'/>,Vyklonit <img image='\xmisc\ctrl_strafe.paa'/>,Lehajol <img image='\xmisc\ctrl_strafe.paa'/>,チルト<img image='\xmisc\ctrl_strafe.paa'/>
STR_NAME_VEGF,Vegetation Fir,Vegetation Fir,Végétation épineux,Abetos,Vegetazione: abete,Vegetation Nadel,Хвойная растительность,Roślinność iglasta,Jehličnatý les,Fenyő növényzet,植物：モミ
STR_NAME_VEGP,Vegetation Palm,Vegetation Palm,Végétation palmiers,Palmeras,Vegetazione: palma,Vegetation Palme,Пальмы,Roślinność palmowa,Palmový les,Pálmafa növényzet,植物：ヤシ
STR_NAME_BCROSS,Border Crossing,Border Crossing,Franchissement frontière,Cruce fronterizo,Passaggio frontiera,Grenzübergang,Пересечение границы,Przejście graniczne,Hraniční přechod,Határátkelő,境界横断
STR_NAME_VEGB,Vegetation Broadleaf,Vegetation Broadleaf,Végétation feuillus,Follaje,Vegetazione: foglie larghe,Vegetation Laub,Лиственная растительность,Roślinność liściasta,Listnatý les,Zárvatermő növényzet,植物：広葉タバコ
STR_USRACT_GROUP_INFANTRY,Infantry controls,Infantry controls,Commandes infanterie,Controles de infantería,Comandi fanteria,Steuerung (Infanterie),Управление пехотой,Sterowanie piechotą,Ovládání pěšáka,Gyalogság irányítás,歩兵コントロール
STR_USRACT_GROUP_VEHICLE,Vehicle controls,Vehicle controls,Commandes véhicule,Controles del vehículo,Comandi veicolo,Steuerung (Fahrzeug),Управление ТС,Sterowanie pojazdem,Ovládání vozidel,Jármű irányítás,車両コントロール
STR_NAME_VEGV,Vegetation Vineyard,Vegetation Vineyard,Végétation vigne,Viñas,Vegetazione: vigna,Vegetation Weingut,Виноградники,Roślinność - winorośle,Vinohrad,Szőlőskert növényzet,植物：ブドウ園
STR_USRACT_GROUP_ALL,All controls,All controls,Toutes commandes,Todos los controles,Tutti i comandi,Steuerung (Gesamt),Все управление,Sterowanie,Všechna ovládání,Összes irányítás,すべてのコントロール
STR_USRACT_GROUP_BULDOZER,Bulldozer controls,Bulldozer controls,Commandes Bulldozer,Controles del buldózer,Comandi Buldozer,Bulldozer-Steuerung,Управление бульдозером (ред.),Sterowanie buldożerem,Ovládání buldozeru,Bulldózer irányítás,ブルドーザー・コントロール
STR_USRACT_GROUP_USER,Custom controls,Custom controls,Commandes personnalisées,Personalizar controles,Comandi personalizzati,Individ. Steuerung,Свои настройки,Własne sterowanie,Vlastní ovládání,Egyedi irányítás,カスタム・コントロール
STR_USRACT_GROUP_FLYING,Aircraft controls,Aircraft controls,Commandes aéronef,Controles aéreos,Comandi aeromobile,Steuerung (Flug),Управление ЛА,Sterowanie samolotem,Ovládání letadel,Légi jármű irányítás,航空機コントロール
STR_USRACT_GROUP_HELI,Helicopter controls,Helicopter controls,Commandes de l’hélicoptère,Controles del helicóptero,Comandi elicottero,Hubschraubersteuerung,Helicopter controls,Sterowanie śmigłowcem,Ovládání vrtulníku,Helicopter controls,ヘリコプター・コントロール
STR_DISTANCE_FAR_FROM,far from,far from,loin de,lejos de,lontano da,weit entfernt von,далеко от,daleko,daleko od,messze,離れた
STR_DISTANCE_DANGER_CLOSE_TO,,,,,,,,,,,
STR_DISTANCE_NOT_FAR_FROM,not far from,not far from,pas loin de,no lejos de,non lontano da,nicht weit von,недалеко от,niedaleko,blízko,nem messze,離れてない
STR_UI_AUDIO_TITLE,AUDIO,AUDIO,AUDIO,AUDIO,AUDIO,AUDIO,ЗВУК,AUDIO,AUDIO,AUDIO,AUDIO
STR_UI_AUDIO_MICROPHONE,Microphone,Microphone,Microphone,Micrófono,Microphone,Mikrofon,Микрофон,Microphone,Microphone,Microphone,Microphone
STR_MSG_CONFIRM_RESPAWN_CLIENT, Are you sure you would like to respawn? This will kill your current character., Are you sure you would like to respawn? This will kill your current character., Are you sure you would like to respawn? This will kill your current character., Are you sure you would like to respawn? This will kill your current character., Are you sure you would like to respawn? This will kill your current character., Are you sure you would like to respawn? This will kill your current character.,"Вы уверены, что хотите начать заново? Ваш текущий персонаж погибнет.", Are you sure you would like to respawn? This will kill your current character., Are you sure you would like to respawn? This will kill your current character., Are you sure you would like to respawn? This will kill your current character., Are you sure you would like to respawn? This will kill your current character.
STR_MULTI_ADD_FAVORITE,Add To Favorites,Add To Favorites,,,,,В избранное,,,,
STR_DISP_MULTI_FRIENDS,Friends,Friends,,,,,,,,,
STR_ACTION_TAKEITEMINTOHANDS,Take %1 into hands,Take %1 into hands,,,,,Взять в руки: %1,,,,
STR_MULTI_REMOVE_FAVORITE,Remove from Favorites,Remove from Favorites,,,,,Убрать из избранного,,,,
STR_INVENTORY_ADD_ATTACHMENT,Attach %s to %s,Attach %s to %s,,,,,Присоединить %s к %s,,,,
STR_ACTION_DETACH_ATTACHMENT,Detach %1,Detach %1,,,,,Отсоединить %1,,,,
STR_INVENTORY_SWAP_ITEMS,Swap %s and %s,Swap %s and %s,,,,,Поменять местами %s и %s,,,,
STR_INVENTORY_ADD_ITEM,Add %s to %s,Add %s to %s,,,,,Добавить %s к %s,,,,
STR_ACTION_TAUNT,Taunt,Taunt,,,,,Грубый жест,,,,
STR_OPTIONS_PERSPECTIVE_3RD,Perspective: 3rd,Perspective: 3rd,Prospective: première personne ,Tercera persona,Perspective: 3rd,Perspective: 3rd,Вид: От 3-го лица,Perspective: 3rd,Perspective: 3rd,Perspective: 3rd,Perspective: 3rd
STR_OPTIONS_PERSPECTIVE_FIRST,Perspective: First,Perspective: First,Prospective: troisième personne ,Primera persona,Perspective: First,,Вид: От 1-го лица,Perspective: First,Perspective: First,Perspective: First,Perspective: First
STR_USRACT_ITEM_9,Item #10,Item #10,,,,,,,,,
STR_USRACT_ITEM_8,Item #9,Item #9,,,,,,,,,
STR_USRACT_ITEM_7,Item #8,Item #8,,,,,,,,,
STR_USRACT_ITEM_6,Item #7,Item #7,,,,,,,,,
STR_USRACT_ITEM_5,Item #6,Item #6,,,,,,,,,
STR_USRACT_ITEM_4,Item #5,Item #5,,,,,,,,,
STR_ACTION_RADIO_VOLUME_UP,Volume Up,Volume Up,,,,,Громче,,,,
STR_ACTION_RADIO_OFF,Stop: %1,Stop: %1,,,,,Выкл.: %1,,,,
STR_ACTION_RADIO_ON,Play: %1,Play: %1,,,,,Вкл.: %1,,,,
STR_USRACT_AIM_WEAPON_3S,Aim Weapon 3s,Aim Weapon 3s,,,,,,,,,
STR_USRACT_AIM_WEAPON_TOGGLE,Aim Weapon Toggle,Aim Weapon Toggle,,,,,,,,,
STR_USRACT_AIM_WEAPON_HOLD,Aim Weapon Hold,Aim Weapon Hold,,,,,,,,,
